TUMORKEY	METASTASISKEY	METASTASISORGAN
21	700	Liver
22	701	Liver
23	702	Liver
24	703	Liver
58	322	CNS - Brain - Brain Stem
58	323	Thyroid gland
58	324	Pancreas
58	325	Lung
68	695	Lung
120	699	Lung
128	108	Lung
136	109	Lung
139	110	Lung
140	111	Lung
141	112	Lung
142	113	Lung
340	342	Lymph node
683	67	Lung
683	1135	Liver
683	1136	Kidney
683	1137	Spleen
684	237	Lung
684	1138	Liver
684	1139	Kidney
684	1140	Spleen
736	737	Liver
736	738	Lung
748	740	Lung
751	752	Lymph node
751	753	Heart
1437	1467	Lymph node
1437	1468	Kidney
1437	1469	Pancreas
1437	1470	Liver
1437	1471	Muscle - Striated - Skeletal - Diaphragm
1953	1954	Liver
1953	1955	Pancreas
1953	1956	Lymph node
1953	1957	Peritoneum
2770	2771	Lung
3092	3093	Lung
3092	3094	Lymph node
3419	3420	Lung
4477	4478	Lung
4527	4549	Pancreas
4527	4550	Lymph node
4804	8120	Liver
4804	8121	Lung
4976	4981	Lung
4976	8378	Liver
4976	8379	Peritoneum
5894	8592	Lung
5894	8593	Kidney
6371	6372	Lymph node
6371	6373	Lung
6371	6374	Bone
6371	6375	Kidney
6371	6376	Adrenal gland
6449	6450	Lung
6452	6453	Lung
6870	6873	Lung
6874	6875	Lung
8122	8123	Liver
8122	8124	Lung
8126	8127	Lung
8372	8373	Lung
8398	5030	Lung
8473	8482	Lung
8473	8483	Liver
8594	8595	Lung
8603	8604	Liver
8603	8605	Lung
8603	8606	Muscle - Striated - Cardiac
8645	8646	Lymph node
8645	8647	Lung
8645	8648	Liver
8645	8649	Bone marrow
8722	8723	Lymph node
9124	9125	Liver
9124	9126	Lung
9133	9134	Lung
9223	9224	Lung
9228	9230	Lung
9228	9231	Liver
9229	9232	Liver
9288	9291	Lymph node
9288	9293	Adrenal gland
9288	9294	Liver
9290	9292	Lymph node
9760	9761	Lymph node
9847	9848	CNS - Spinal cord
9852	9853	Bone marrow
9865	9872	Bone
9884	9885	Liver
9884	9886	Lung
9884	9887	Lymph node
9884	9888	Kidney
9884	9889	Muscle - Striated
10156	10164	Lymph node
10221	10223	Muscle - Striated - Skeletal - Diaphragm
10221	10224	Lymph node
10221	10227	Lung
10221	10228	Pancreas
10221	10229	Liver
10386	10388	Lymph node
10386	10390	Liver
10402	384	Pancreas
10403	379	Liver
10403	380	Pancreas
10403	381	Spleen
10403	382	Epididymis
10403	383	Lymph node
10406	10407	Liver
10406	10408	Lung
10406	10409	Pancreas
10406	10410	Epididymis
10406	10411	Bone
10406	10412	Lymph node
10406	10413	Spleen
10414	10415	Lymph node
10416	10417	Lung
10416	10418	Bone
10420	10421	Liver
10461	10463	Lymph node
10462	10464	Lymph node
10470	10471	Lymph node
10472	10473	Lymph node
10476	10478	Lymph node
10477	10479	Lymph node
10609	10745	Lung
10645	10673	Lung
10646	10674	Lung
10647	10675	Lung
10648	10676	Lung
10649	10677	Lung
10650	10678	Lung
10651	10679	Lung
10652	10680	Lung
10653	10681	Lung
10654	10682	Lung
10655	10683	Lung
10656	10684	Lung
10657	10685	Lung
10658	10686	Lung
10659	10687	Lung
10660	10688	Lung
10661	10689	Lung
10662	10690	Lung
10663	10691	Lung
10664	10692	Lung
10665	10693	Lung
10666	10694	Lung
10667	10695	Lung
10668	10696	Lung
10669	10697	Lung
10670	10698	Lung
10671	10699	Lung
10672	10700	Lung
10750	10749	Lung
10770	10773	Lung
10774	10776	Lung
10777	10778	Lung
10779	10780	Lung
10781	10782	Lung
10783	10784	Lung
10793	10797	Lung
10794	10798	Lung
10858	10859	Lung
10988	10989	Lung
11000	11001	Lung
11005	11006	Lung
11157	11159	Lung
11158	11160	Lung
11336	11337	Lung
11374	11375	Lymph node
11378	11381	Lung
11379	11380	Lung
11379	11382	Liver
11379	11383	Kidney
11379	11384	Lymph node
11385	11386	Lung
11630	11639	Liver
11915	11916	Peritoneum - Mesentery
11915	11917	Liver
11915	11918	Thymus
11915	11919	Spleen
11915	11920	Intestine - Large Intestine - Colon - Proximal
11915	11921	Head
11915	12259	Neck
11931	11932	Peritoneum - Mesentery
11931	11933	Thymus
11931	11934	Spleen
11931	11935	Lymph node
11936	11937	Peritoneum - Mesentery
11936	11938	Liver
11936	11939	Intestine - Small Intestine - Duodenum
11936	11940	Mammary gland
11936	11941	Heart
11936	11942	Lung
11936	11943	Uterus
11936	11944	Spleen
11936	11945	Skin
12433	12434	Liver
12449	12450	Lymph node
12455	12456	Liver
12476	12477	Liver
12480	12481	Lung
12525	12526	Kidney
12736	12737	Liver
12736	12738	Lymph node
12920	12921	(Unspecified organ)
